zinc_id,smiles
ZINC000005762180,CC1(C)CCC(=O)[C@H]2[C@@H]1CC=C(C=O)[C@@H]2C=O
ZINC000100824223,CCCCCCCCC[C@@H]1CCC=C[C@@H]1O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC000150365445,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)COC(=O)CCCCCCCCCCCCCCCCCCCCC
ZINC000002545088,CN(C)c1cccc2c(S(=O)(=O)N(C)CC(=O)O)cccc12
ZINC000096903857,[C-]#[N+][C@]12C[C@@H](O)C(C)(C)c3[nH]c4cccc5c4c3[C@]1(O)[C@H](C[C@@H](Cl)[C@]2(C)C=C)C5(C)C
ZINC000230076840,CC(=O)OCC1=CO[C@H](OC(=O)[C@H](OC(C)=O)C(C)C)[C@@H]2C1=C[C@@H](OC(=O)CC(C)C)[C@@]21CO1
ZINC000004655414,CCCCC/C=C\C/C=C\C/C=C\C[C@H](O)[C@@H](O)CCCC(=O)O
ZINC000095625079,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@@H](COCCCCCCCCCCCCCCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
ZINC000049872096,C[C@@H](C[C@H](C)CCCCCCCCc1ccccc1)C[C@]1(C)C[C@](C)(CC(=O)O)OO1
ZINC000150355918,CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
ZINC000150379719,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC
ZINC000000968274,O[C@](CCN1CCCCC1)(c1ccccc1)C1CCCCC1
ZINC000001572940,CSCC[C@@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O
ZINC000230087159,C=C1C[C@]23C[C@H]1CC[C@@H]2[C@@]1(C)CCC[C@@]2(CO)C(=O)O[C@@H]([C@@H]21)[C@@H]3O
